x,y,theta
-0.1539,0.0059,-0.07
-0.1552,-0.0149,0
-0.1837,-0.026,0.03
-0.2078,-0.0221,-0.03
-0.1979,-0.0333,-0.12
-0.1852,-0.0396,0.01
-0.208,-0.0388,0.05
-0.2259,-0.0382,0.01
-0.2263,-0.0499,-0.09
-0.201,-0.0522,-0.01
-0.2043,-0.0529,0.11
-0.2191,-0.0547,0.06
-0.2093,-0.0553,-0.07
-0.2137,-0.0547,-0.07
-0.1985,-0.0434,0.05
-0.2034,-0.0432,0.07
-0.2116,-0.0585,0.02
-0.2275,-0.0619,-0.04
-0.2228,-0.0722,0
-0.2098,-0.1067,0.05
-0.2122,-0.1278,0
-0.2356,-0.1174,0
-0.2191,-0.0908,0.1
-0.1837,-0.1006,0.11
-0.1699,-0.1282,0.01
-0.2063,-0.1276,0.02
-0.2195,-0.142,0.05
-0.1682,-0.1392,0.05
-0.1503,-0.1305,-0.03
-0.1711,-0.11,-0.05
-0.208,-0.1087,-0.02
-0.1959,-0.1435,-0.01
-0.1978,-0.1489,-0.05
-0.2204,-0.1303,-0.1
-0.2363,-0.1193,-0.06
-0.1885,-0.1297,0.01
-0.1585,-0.1516,0.02
-0.1642,-0.1421,-0.01
-0.2001,-0.1323,-0.03
-0.1807,-0.1652,-0.01
-0.1372,-0.1816,0
-0.1488,-0.1646,-0.02
-0.1776,-0.1451,-0.04
-0.1744,-0.1724,-0.02
-0.1425,-0.1986,-0.01
-0.1467,-0.1624,-0.08
-0.1796,-0.1296,-0.1
-0.1587,-0.1451,-0.07
-0.1326,-0.1739,-0.01
-0.1379,-0.1616,0.01
-0.1683,-0.1413,-0.01
-0.174,-0.1534,-0.05
-0.1578,-0.1845,-0.04
-0.1579,-0.1542,-0.01
-0.1553,-0.1198,-0.04
-0.1358,-0.1441,-0.07
-0.1036,-0.1672,-0.05
-0.1167,-0.1463,0.01
-0.1508,-0.1216,0.02
-0.1234,-0.135,-0.07
-0.0794,-0.1497,-0.11
-0.0835,-0.1031,-0.06
-0.1153,-0.0805,-0.03
-0.1202,-0.1089,-0.02
-0.094,-0.1518,-0.08
-0.1013,-0.1157,-0.07
-0.1139,-0.0688,0.01
-0.1064,-0.0943,0.05
-0.0881,-0.1284,0.01
-0.0899,-0.1173,-0.04
-0.0624,-0.1185,-0.01
-0.0159,-0.143,0.03
-0.0063,-0.1775,0.05
-0.0415,-0.1667,0
-0.0425,-0.1414,-0.07
-0.0133,-0.1476,-0.03
0.0086,-0.1794,0
-0.0066,-0.1913,0
-0.0359,-0.1608,-0.04
-0.0206,-0.1471,0.02
0.0108,-0.1708,0.06
0.0112,-0.192,0.03
-0.0136,-0.1638,-0.04
-0.0342,-0.1574,-0.03
-0.0194,-0.1668,0.04
0.0025,-0.1993,0.05
-0.0008,-0.2036,-0.03
-0.0236,-0.1552,-0.13
-0.0065,-0.1459,-0.05
0.0193,-0.1698,0.01
0.0377,-0.2045,0.02
0.0473,-0.2091,-0.04
0.023,-0.1848,-0.08
0.0264,-0.1705,-0.03
0.051,-0.1877,0.03
0.0607,-0.2168,0.03
