1,2,3,4
18.43,-69.459,14.88,-62.27
10.853,-73.164,1.754,-68.46
-2.212,-74.237,5.618,-71.5
4.189,-71.459,14.943,-67.7
14.973,-73.9,4.281,-63.9
7.929,-77.138,-6.655,-66.24
-7.423,-75.007,4.392,-71.2
-1.178,-74.757,13.847,-67
10.857,-76.95,4.69,-61.15
5.396,-79.101,-7.869,-63.4
-5.36,-77.262,-2.258,-66.89
-1.318,-74.766,7.743,-71.8
10.5,-76.375,-3.397,-70.23
5.183,-77.996,-13.121,-65.49
-6.151,-68.312,-4.144,-65.83
-0.249,-59.598,6.846,-69.52
10.699,-58.584,-0.212,-65.8
2.632,-63.537,-10.924,-59.22
-8.704,-62.505,-1.764,-61.5
-2.076,-57.277,7.909,-65.57
8.829,-56.196,-0.287,-62.79
0.036,-61.109,-10.469,-52.77
-10.422,-63.731,0.82,-53.94
-4.266,-61.304,11.439,-58.13
7.361,-55.996,4.255,-61.14
0.998,-58.616,-6.553,-58.23
-9.138,-64.883,4.77,-53.9
-1.885,-63.561,11.52,-58.44
10.561,-51.494,2.532,-60.95
5.313,-49.257,-10.892,-56.32
-7.613,-55.295,-0.409,-39.04
4.355,-54.968,10.977,-39.5
14.165,-40.707,-1.02,-46.37
7.292,-34.96,-11.41,-42.48
-5.42,-40.469,0.069,-32.79
4.265,-46.962,9.512,-35.46
14.574,-36.952,1.076,-42.52
6.432,-26.445,-8.785,-39.45
-5.806,-29.761,-2.589,-30.49
1.149,-37.53,6.709,-33.19
10.212,-41.313,-0.647,-39.96
1.505,-28.574,-13.362,-40.88
-9.69,-27.999,-3.574,-38.35
-5.424,-40.558,7.06,-43.11
5.741,-46.953,-4.379,-46.21
0.542,-31.276,-16.742,-45.64
-13.601,-23.074,-24.779,-42.76
-25.726,-26.689,-18.318,-46.41
-19.689,-34.433,-24.121,-45.36
-14.845,-38.25,-36.017,-35.21
-19.333,-35.358,-38.583,-34.58
-28.892,-38.663,-34.632,-42.05
-36.066,-45.756,-40.259,-46.52
-30.618,-43.15,-48.029,-32.82
-33.545,-38.128,-45.531,-35
-42.017,-40.86,-36.652,-41.74
-50.44,-50.935,-40.469,-43.02
-35.26,-49.051,-46.368,-39.66
-26.313,-33.856,-52.683,-43.46
-26.514,-33.286,-40.952,-46.13
-35.101,-38.294,-39.53,-40.4
